date,year,month,city,mean_radiance,total_radiance,max_radiance
2022-07-01,2022,7,Abidjan,0.9198191371812768,10346.255511834359,58.209999084472656
2022-08-01,2022,8,Abidjan,5.982714202129197,67294.41396402473,592.9099731445312
2022-09-01,2022,9,Abidjan,4.356968885463032,49007.801125177844,243.77000427246094
2022-10-01,2022,10,Abidjan,6.519266663620828,73329.6317994654,584.9299926757812
2022-11-01,2022,11,Abidjan,6.723592137237507,75627.91357265502,700.75
2022-12-01,2022,12,Abidjan,6.282511195926483,70666.57287453809,174.16000366210938
2023-01-01,2023,1,Abidjan,6.269395830801807,70519.04939603477,171.94000244140625
2023-02-01,2023,2,Abidjan,5.368561626547484,60386.339089988614,106.69000244140625
2023-03-01,2023,3,Abidjan,7.371718613353707,82918.13167621841,197.07000732421875
2023-04-01,2023,4,Abidjan,7.356576426977114,82747.81022613407,484.8299865722656
2023-05-01,2023,5,Abidjan,2.2262928684715457,25041.65648473759,66.91000366210938
2023-06-01,2023,6,Abidjan,7.555408222809599,84984.29833602904,324.4800109863281
2023-07-01,2023,7,Abidjan,5.819926713387497,65463.35730889498,937.5999755859375
2023-08-01,2023,8,Abidjan,5.792253530577326,65152.08544184389,187.36000061035156
2023-09-01,2023,9,Abidjan,5.161693290980342,58059.454846587905,154.08999633789062
2023-10-01,2023,10,Abidjan,6.595169791048374,74183.40089250606,313.2099914550781
2023-11-01,2023,11,Abidjan,7.089248150736198,79740.86403451372,204.00999450683594
2023-12-01,2023,12,Abidjan,6.666680479170967,74987.76320813556,535.1799926757812
2014-01-01,2014,1,Johannesburg,16.969442833475334,288282.2851486846,2140.854736328125
2014-02-01,2014,2,Johannesburg,14.398572943034862,244607.53082062257,777.517333984375
2014-03-01,2014,3,Johannesburg,13.911574723766822,236334.2503781451,381.1681213378906
2014-04-01,2014,4,Johannesburg,16.913887294100444,287338.48999873025,210.0794677734375
2014-05-01,2014,5,Johannesburg,16.807415188961347,285529.70805607626,245.6663360595703
2014-06-01,2014,6,Johannesburg,17.247045648164296,292998.28994433826,981.467529296875
2014-07-01,2014,7,Johannesburg,17.247044218744737,292998.26566090476,340.1265563964844
2014-08-01,2014,8,Johannesburg,18.11335479989158,307715.42499443545,197.05992126464844
2014-09-01,2014,9,Johannesburg,16.184856194648162,274953.4781066504,179.68930053710938
2014-10-01,2014,10,Johannesburg,18.076507563715577,307089.4524418613,198.93417358398438
2014-11-01,2014,11,Johannesburg,15.603813871079701,265082.54654748423,249.23797607421875
2014-12-01,2014,12,Johannesburg,16.62961421603745,282509.16865008895,181.50413513183594
2015-01-01,2015,1,Johannesburg,15.09390658423831,256420.07958807275,190.50570678710938
2015-02-01,2015,2,Johannesburg,14.12065399684254,239886.15548257154,187.36956787109375
2015-03-01,2015,3,Johannesburg,15.561279551445274,264359.9600146331,167.60507202148438
2015-04-01,2015,4,Johannesburg,15.868649102618226,269581.65158499306,232.20184326171875
2015-05-01,2015,5,Johannesburg,17.27545042840917,293480.83937383303,225.3484649658203
2015-06-01,2015,6,Johannesburg,17.213121877519665,292421.9821528413,232.25808715820312
2015-07-01,2015,7,Johannesburg,16.21524542597551,275469.7400214893,238.00828552246094
2015-08-01,2015,8,Johannesburg,16.7262322819699,284150.5470445939,253.17848205566406
2015-09-01,2015,9,Johannesburg,15.656725942847023,265981.4336300315,204.16854858398438
2015-10-01,2015,10,Johannesburg,16.038581461337706,272468.5164734335,198.55662536621094
2015-11-01,2015,11,Johannesburg,16.47942365698731,279957.6837253559,334.9737854003906
2015-12-01,2015,12,Johannesburg,15.031456322048365,255359.15469684787,163.72866821289062
2016-01-01,2016,1,Johannesburg,15.012569348280223,255038.296787083,207.24313354492188
2016-02-01,2016,2,Johannesburg,14.293271729583866,242818.6403578963,261.14569091796875
2016-03-01,2016,3,Johannesburg,15.15531424467306,257463.29242950102,250.42535400390625
2016-04-01,2016,4,Johannesburg,16.556141843826424,281260.9966526851,142.18890380859375
2016-05-01,2016,5,Johannesburg,17.136797267809943,291125.3554388048,193.03700256347656
2016-06-01,2016,6,Johannesburg,16.629049026439915,282499.56702967524,217.5198211669922
2016-07-01,2016,7,Johannesburg,16.81776192346133,285705.4816683717,279.14471435546875
2016-08-01,2016,8,Johannesburg,18.025402569191154,306221.2645615292,238.31602478027344
2016-09-01,2016,9,Johannesburg,17.049827792916293,289647.8903737135,181.9210968017578
2016-10-01,2016,10,Johannesburg,16.7075196825719,283832.6514620185,167.8142852783203
2016-11-01,2016,11,Johannesburg,16.329029008117928,277402.7316579449,186.65301513671875
2016-12-01,2016,12,Johannesburg,15.900899973428416,270129.53962271084,160.47857666015625
2017-01-01,2017,1,Johannesburg,15.019038120328892,255148.1903414322,169.52781677246094
2017-02-01,2017,2,Johannesburg,15.707785833135643,266848.85526527854,136.48036193847656
2017-03-01,2017,3,Johannesburg,16.008530876077344,271958.0075855505,179.33587646484375
2017-04-01,2017,4,Johannesburg,16.74441976185163,284459.52173002425,145.24623107910156
2017-05-01,2017,5,Johannesburg,17.136840941630222,291126.0973835365,147.09490966796875
2017-06-01,2017,6,Johannesburg,17.859518564824647,303403.1744027849,148.45335388183594
2017-07-01,2017,7,Johannesburg,17.345763552843415,294675.3410664792,207.31813049316406
2017-08-01,2017,8,Johannesburg,18.157501343390926,308465.40049842204,302.0670471191406
2017-09-01,2017,9,Johannesburg,16.435812812572205,279216.8088475756,125.05829620361328
2017-10-01,2017,10,Johannesburg,15.452414289470646,262510.5223634778,157.1300048828125
2017-11-01,2017,11,Johannesburg,16.461330508848302,279650.3115775351,138.8000030517578
2017-12-01,2017,12,Johannesburg,14.77283949386836,250965.6898708511,153.60000610351562
2018-01-01,2018,1,Johannesburg,16.455614338317144,279553.20345682703,187.52999877929688
2018-02-01,2018,2,Johannesburg,14.646845721192953,248825.26763909,148.8800048828125
2018-03-01,2018,3,Johannesburg,15.519631892513463,263652.4363554431,134.42999267578125
